path,recommended_permissions,notes
".env.example","contents:read","default conservative read-only"
".pre-commit-config.yaml","contents:read","default conservative read-only"
".secret.env","contents:read","default conservative read-only"
".secrets.baseline","contents:read","default conservative read-only"
"05_02_project_overview.md","contents:read","default conservative read-only"
"05_02_todo_list.md","contents:read","default conservative read-only"
"CHECKPOINT_1.md","contents:read","default conservative read-only"
"events.ndjson","contents:read","default conservative read-only"
"gaia.db","contents:read","default conservative read-only"
"orchestrator.py","contents:read","default conservative read-only"
"out.json","contents:read","default conservative read-only"
"pids.json","contents:read","default conservative read-only"
"PLAN_2026-02-06.md","contents:read","default conservative read-only"
"PLAN_AGENT_MODE.md","contents:read","default conservative read-only"
"pytest.ini","contents:read","default conservative read-only"
"README.md","contents:read","default conservative read-only"
"README_RUNBOOK.md","contents:read","default conservative read-only"
"README_SESSION.md","contents:read","default conservative read-only"
"README_SESSION_CHECKLIST.md","contents:read","default conservative read-only"
"replace-text.preset.txt","contents:read","default conservative read-only"
"replace-text.template.txt","contents:read","default conservative read-only"
"SCHEDULER_AUDIT.md","contents:read","default conservative read-only"
".backup/docs_backup_20260205T160615Z.zip","contents:read","default conservative read-only"
".githooks/pre-commit","contents:read","default conservative read-only"
".githooks/pre-commit.ps1","contents:read","default conservative read-only"
".githooks/README.md","contents:read","default conservative read-only"
".github/copilot-instructions.md","contents:read","default conservative read-only"
".github/issue_bodies/sprint1-01_ensure_pytest_basetemp.md","contents:read","default conservative read-only"
".github/issue_bodies/sprint1-07_run_pytest_and_report.md","contents:read","default conservative read-only"
".github/scripts/write_pth.py","contents:read","default conservative read-only"
".github/workflows/allowlist-tests.yml","contents:read","default conservative read-only"
".github/workflows/auto-merge.yml","use repo secrets","workflow reads repo secrets"
".github/workflows/auto-pr-with-tests.yml","use repo secrets","workflow reads repo secrets"
".github/workflows/auto-pr.yml","use repo secrets","workflow reads repo secrets"
".github/workflows/auto-triage.yml","use repo secrets","workflow reads repo secrets; workflow reads repo secrets"
".github/workflows/automerge-agent-dry-run.yml","contents:read","default conservative read-only"
".github/workflows/ci-e2e-preprod.yml","contents:read","default conservative read-only"
".github/workflows/ci-fixed.yml","contents:read","default conservative read-only"
".github/workflows/ci-integration.yml","contents:read","default conservative read-only"
".github/workflows/ci.yml","contents:read","default conservative read-only"
".github/workflows/collect-triage-metrics.yml","use repo secrets","workflow reads repo secrets"
".github/workflows/copilot-dryrun.yml","contents:read","default conservative read-only"
".github/workflows/notify-telegram-summary.yml","use GAIA_GITHUB_TOKEN","workflow reads GAIA_GITHUB_TOKEN; workflow reads GAIA_GITHUB_TOKEN"
".github/workflows/online-agent.yml","use repo secrets","workflow reads repo secrets; workflow reads repo secrets; workflow reads repo secrets; workflow reads repo secrets; workflow reads repo secrets"
".github/workflows/periodic-notifications.yml","contents:read","default conservative read-only"
".github/workflows/periodic-telegram-status.yml","use repo secrets","workflow reads repo secrets; workflow reads repo secrets"
".github/workflows/promote-automerge-live.yml","contents:read","default conservative read-only"
".github/workflows/real-send.yml","use repo secrets","workflow reads repo secrets; workflow reads repo secrets"
".github/workflows/repro-windows-integration-flake.yml","contents:read","default conservative read-only"
".github/workflows/rotate-logs.yml","secrets:write","persists tokens to encrypted store"
".github/workflows/rotate-secret.yml","secrets:write,use repo secrets","workflow reads repo secrets; persists tokens to encrypted store"
".github/workflows/secret-scan.yml","use repo secrets","workflow reads repo secrets; workflow reads repo secrets; workflow reads repo secrets"
".github/workflows/sprint_onboard.yml","use repo secrets","workflow reads repo secrets"
".github/workflows/telegram-summary.yml","use repo secrets","workflow reads repo secrets; workflow reads repo secrets"
".github/workflows/token-cache.yml","contents:read,issues:write","token-cache returns install tokens for agents; needs union of consumers"
".github/workflows/validate_backlog_sync.yml","contents:read","default conservative read-only"
".github/workflows/weekly-monitor-prune.yml","contents:read","default conservative read-only"
".pytest_cache/v/cache/nodeids","contents:read","default conservative read-only"
".pytest_tmp/test_command_allowed_from_file0/agent_mode_allowlist.json","contents:read","default conservative read-only"
".pytest_tmp/test_empty_allowlist_uses_env0/agent_mode_allowlist.json","contents:read","default conservative read-only"
".pytest_tmp/test_package_consumer_copies_c0/events.ndjson","contents:read","default conservative read-only"
".pytest_tmp/test_path_allowed0/agent_mode_allowlist.json","contents:read","default conservative read-only"
".tmp/detect_secrets_priority_20260206.csv","contents:read","default conservative read-only"
".tmp/generate_triage.py","contents:read","default conservative read-only"
".tmp/sensitive_files_candidates.txt","contents:read","default conservative read-only"
"agents/agent_utils.py","contents:read","agent script, default read access"
"agents/alby_agent.py","contents:read","agent script, default read access"
"agents/alby_agent_template.py","contents:read","agent script, default read access"
"agents/alby_local.py","contents:read","agent script, default read access"
"agents/alby_online_agent.py","contents:read","agent script, default read access"
"agents/automerge_agent.py","contents:read","agent script, default read access"
"agents/backlog_agent.py","contents:read","agent script, default read access"
"agents/ci_issue_collector.py","contents:read","agent script, default read access"
"agents/controller_agent.py","contents:read","agent script, default read access"
"agents/environment_installer.py","contents:read","agent script, default read access"
"agents/github_sessions_sync.py","contents:read","agent script, default read access"
"agents/mock_telegram.py","contents:read","agent script, default read access"
"agents/package_consumer.py","contents:read","agent script, default read access"
"agents/package_fetcher.py","contents:read","agent script, default read access"
"agents/reclaimer.py","contents:read","agent script, default read access"
"agents/role_arbiter.py","contents:read","agent script, default read access"
"agents/scrum_backlog.py","contents:read","agent script, default read access"
"agents/sequence_worker.py","contents:read","agent script, default read access"
"agents/sprint_planner.py","contents:read","agent script, default read access"
"agents/sync_backlog_to_db.py","contents:read","agent script, default read access"
"agents/task_assigner.py","contents:read","agent script, default read access"
"agents/telegram_backlog_agent.py","contents:read","agent script, default read access"
"agents/validate_backlog_sync.py","contents:read","agent script, default read access"
"agents/worker.py","contents:read","agent script, default read access"
"backlogs/session_backlog_20260205T092742Z.json","contents:read","default conservative read-only"
"config/agent_mode_allowlist.json","contents:read","default conservative read-only"
"doc/AGENT_AUTOMATION_TOKENS.md","contents:read","default conservative read-only"
"doc/agent_session_recovery.md","contents:read","default conservative read-only"
"doc/AGENT_SESSION_WORKFLOW.md","contents:read","default conservative read-only"
"doc/AGENT_STARTUP_PROCEDURE.md","contents:read","default conservative read-only"
"doc/AI_AGENT_SECRETS_GUIDE.md","contents:read","default conservative read-only"
"doc/GAIA_AGENT_REQUIREMENTS.md","contents:read","default conservative read-only"
"doc/GITHUB_2FA_GUIDE.md","contents:read","default conservative read-only"
"doc/IMPLEMENTATION_SUMMARY.md","contents:read","default conservative read-only"
"doc/MASTER_DOC_INDEX.md","contents:read","default conservative read-only"
"doc/SCRIPT_RUNNER_EXAMPLES.md","contents:read","default conservative read-only"
"doc/SCRIPT_RUNNER_USAGE.md","contents:read","default conservative read-only"
"doc/SECRETS_EXTERNAL_ENV.md","contents:read","default conservative read-only"
"doc/SECRETS_MANAGEMENT_GUIDE.md","contents:read","default conservative read-only"
"doc/TOKEN_ROTATION_EVAL.md","contents:read","default conservative read-only"
"doc/TOKEN_ROTATION_PLAYBOOK.md","contents:read","default conservative read-only"
"doc/02_technical/OVERVIEW.md","contents:read","default conservative read-only"
"doc/02_technical/pytest_basetemp_fix-summary.md","contents:read","default conservative read-only"
"doc/02_technical/SECRETS-summary.md","contents:read","default conservative read-only"
"doc/02_technical/SECRETS_TESTING-summary.md","contents:read","default conservative read-only"
"doc/03_procedural/OVERVIEW.md","contents:read","default conservative read-only"
"doc/archive/EPC_Telegram.current.20260203T230425Z.archived","contents:read","default conservative read-only"
